slice,images,annotations,ap,ap50,ap75,ap_small,ap_medium,ap_large,ar1,ar10,ar100
all,330,1610,0.19600743210752267,0.24642633195766303,0.21652221238135552,0.13047211714579351,0.208923789938075,0.32516531666925225,0.335004965125196,0.49526014084439385,0.5007488930337508
offcenter,330,1012,0.14780038252353997,0.1889151647786952,0.1617065952655862,0.12142651271103969,0.1950848793072866,0.2510479492672884,0.2892412531597402,0.5023865001910969,0.5097698347121219
center,282,598,0.19064153121227623,0.22915880111064474,0.21263287102172815,0.12950986365646244,0.14762530253160178,0.3451780792575691,0.3991791831490812,0.5487742284201816,0.5536936159936361
small,207,754,0.11590006796515138,0.16658492102288577,0.13244992286134177,0.13234397649197893,0.21221769960423897,0.16372846189878829,0.24069215012602205,0.40987339128505623,0.4198815127018432
medium,266,569,0.244602357023866,0.28251346376931974,0.26652112336929135,-1.0,0.10804637592273753,0.31402885480639253,0.3994041784476641,0.6369771415011783,0.6454058060210891
large,194,287,0.2750592651515769,0.30559762979243726,0.2853395582412307,-1.0,-1.0,0.30969642696928434,0.5971489952547747,0.7415172670501409,0.743069373480296
