model,cats,groups_total,hit_rate_weighted,high_support_cats,high_support_zero_hit,high_support_weighted_hit,mean_nearest_iou_high_support
base,108,6996,0.36863922241280733,55,10,0.37830362630608483,0.33383981751093145
decoder,109,8374,0.35263912108908524,58,8,0.362029501525941,0.3355334100035789
hardcat,108,8986,0.3406409971066103,61,9,0.34836209933075024,0.32006064991036387
full_lr,109,7747,0.40596359881244354,59,8,0.4113358096024212,0.3431341358226173
