variant,offset,predictions,in_gt_category_predictions,in_gt_category_fraction,ap,ap50,ap75,ap_small,ap_medium,ap_large,ar1,ar10,ar100
class_agnostic,,6879,6879,1.0,0.04181524665155159,0.08539090195451192,0.03641394540999842,0.0330163392822617,0.09679164927407621,0.02025828385081699,0.04379084967320261,0.19379084967320262,0.4009803921568628
offset_-3,-3,6879,6053,0.8799244076173862,0.0015667128843061822,0.0025994167464083685,0.0015310406780323002,0.0,0.003713209040202266,0.0,0.021153846153846155,0.028846153846153848,0.028846153846153848
offset_-2,-2,6879,6084,0.8844308765808984,0.004615384615384615,0.006837606837606838,0.00641025641025641,0.0,0.007973856209150327,0.0,0.019230769230769232,0.019230769230769232,0.019230769230769232
offset_-1,-1,6879,6879,1.0,0.005551072580367039,0.010976844122018234,0.005131552545219458,0.007026638251656036,0.012707262612530893,0.010937132005744,0.003663967611336032,0.03815789473684211,0.03919028340080972
offset_+0,0,6879,6879,1.0,0.0021695672894947752,0.005765361399164216,0.0009644692220344152,0.0,0.007231023102310232,0.0,0.0038461538461538464,0.032692307692307694,0.032692307692307694
offset_+1,1,6879,6869,0.9985463003343509,0.009144883041788683,0.01366012298494071,0.011274381452207556,0.016252587991718425,0.0111793337607142,0.0,0.026923076923076925,0.03173076923076923,0.03749999999999999
offset_+2,2,6879,6767,0.9837185637447303,0.00041085218943730603,0.0008474327581641537,0.0003132447239761197,0.0,0.001007990908981008,0.0,0.013461538461538462,0.013461538461538462,0.013461538461538462
offset_+3,3,6879,6717,0.9764500654164849,0.013600771134805784,0.019385472201066255,0.019385472201066255,0.0,0.015926842684268423,0.0,0.015625,0.015625,0.015625
