slice,images,annotations,ap,ap50,ap75,ap_small,ap_medium,ap_large,ar1,ar10,ar100
all,330,1610,0.34209245967942764,0.42209369642831207,0.3804116008003985,0.21397352911201853,0.3589425562208172,0.49753372238028604,0.3404955666670724,0.4435848043259027,0.4442196044702265
offcenter,330,1012,0.2656809192558632,0.3320218383125696,0.29388924453150056,0.18743275232656628,0.3512461664350959,0.37585917773193356,0.2993638852361154,0.42956450542474445,0.4297326040562868
center,282,598,0.30314688018789976,0.3599184687661467,0.3400342925527262,0.1893525949584925,0.24578660244523373,0.49645822154772895,0.3893498660124101,0.5013966734662796,0.5027513532692353
small,207,754,0.214292894110873,0.29711326749758793,0.245839800905188,0.21483865804451932,0.35194698107065236,0.22101974617305978,0.250931444522229,0.36647699750252327,0.3676054739977239
medium,266,569,0.365545517835677,0.4226741584651741,0.405840063683371,-1.0,0.27835470033489834,0.4432073039960408,0.4294100214358115,0.5685697523704446,0.5689905097336986
large,194,287,0.4580858764239844,0.4987505723633901,0.48022136250914055,-1.0,-1.0,0.5044116473827444,0.5357214509892134,0.6715287552085006,0.6715287552085006
