slice,images,annotations,ap,ap50,ap75,ap_small,ap_medium,ap_large,ar1,ar10,ar100
all,330,1610,0.314888118904244,0.38323890804133426,0.34996070857933437,0.1637110391836427,0.33860998022846694,0.4593756458030833,0.296021365926469,0.378392804908066,0.37896234856255223
offcenter,330,1012,0.24341229623970004,0.29720182164850173,0.2697348877489192,0.13755898547169376,0.32822512968887724,0.34646832821600787,0.2547845710971093,0.36098964140339673,0.361030053955836
center,282,598,0.2827143087701238,0.3357524032717366,0.3151945900038512,0.16045833596737596,0.23647204324223298,0.4543147893146049,0.3384877970468929,0.4288108963482553,0.4301655761512109
small,207,754,0.19268751647155472,0.26195339098579035,0.22484602713693663,0.16377740449256156,0.3306337031690264,0.22035529434581722,0.20505809619299825,0.2943509238307944,0.2952775790116952
medium,266,569,0.3510492498390427,0.40297694175093285,0.386875085190528,-1.0,0.27835470033489834,0.41147752811907523,0.3841684755420916,0.5092262529968806,0.5096470103601344
large,194,287,0.4245814604819298,0.460020414527229,0.4418772888708246,-1.0,-1.0,0.47020204930193676,0.4988650824255278,0.5886174041582314,0.5886174041582314
