slice,images,annotations,ap,ap50,ap75,ap_small,ap_medium,ap_large,ar1,ar10,ar100
all,35,158,0.055606839353136026,0.08159392726545972,0.06951897493608462,0.007930753718414865,0.07004201979904068,0.175,0.08141496598639456,0.12163945578231292,0.12433333333333334
offcenter,28,110,0.03326685327678305,0.052025573922225336,0.044991127870306374,0.007192746044741554,0.0432007280978802,0.35,0.06313932980599647,0.09839065255731923,0.10350529100529099
small,35,158,0.055606839353136026,0.08159392726545972,0.06951897493608462,0.007930753718414865,0.07004201979904068,0.175,0.08141496598639456,0.12163945578231292,0.12433333333333334
