slice,images,annotations,ap,ap50,ap75,ap_small,ap_medium,ap_large,ar1,ar10,ar100
all,100,365,0.039363143207724445,0.049257626471736864,0.0416103923348596,0.015555555555555555,0.06052022191466458,0.058845129382597575,0.10820233506508017,0.1553798670465337,0.15831545723702584
offcenter,57,186,0.030525884894754742,0.03812712455275599,0.03390981686173818,0.0,0.0391396310769896,0.06372864901787717,0.09692676767676767,0.15855555555555556,0.16151010101010102
center,95,179,0.047994535097865464,0.05791310095374281,0.05045675576130951,0.029166666666666664,0.1164041404140414,0.06895812313671183,0.10100319197446418,0.14845938375350143,0.15495407465311706
small,38,176,0.043013783131433336,0.06186316218106915,0.05963626676931001,0.015555555555555555,0.07048796244229966,0.02061728395061728,0.07049019607843136,0.11313725490196079,0.11852941176470587
medium,61,103,0.06148090646507917,0.07517120679754419,0.061804567883360535,-1.0,0.0,0.07452407513242121,0.17769865067466267,0.23868065967016489,0.2418540729635182
large,67,86,0.08831753046345173,0.10287558718244212,0.09047937240555391,-1.0,-1.0,0.09238537711327031,0.09626436781609195,0.22365396249243796,0.23669086509376888
