category_id,category_name,top_k,iou_threshold,gt_count,global_topk_loc_recall,global_topk_class_recall,per_category_topk_class_recall,global_category_retention,loc_to_class_gap,ranking_gap,mean_global_loc_best_iou,mean_global_class_best_iou,mean_per_category_class_best_iou
6,n01662784,100,0.5,5,0.8,0.4,0.8,0.5,0.4,0.4,0.6095675443022255,0.37717735686005865,0.6095675443022255
58,n02799071,100,0.5,6,1.0,0.6666666666666666,1.0,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.95856423900142,0.6387399262771318,0.95856423900142
67,n02880940,100,0.5,3,1.0,0.6666666666666666,1.0,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.9039815774461379,0.6079367994883683,0.9039815774461379
125,n03838899,100,0.5,3,1.0,0.6666666666666666,1.0,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.8510907654575508,0.6292436994135712,0.8510907654575508
69,n02892767,100,0.5,3,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3461029696383437,0.09035394049878666,0.32389887861806316
111,n03636649,100,0.5,13,0.3076923076923077,0.0,0.3076923076923077,0.0,0.3076923076923077,0.3076923076923077,0.22891767878645963,0.012958474546878153,0.30187315335169834
75,n03000684,100,0.5,4,0.25,0.0,0.0,0.0,0.25,0.0,0.4364441282231666,0.0,0.0
46,n02484322,100,0.5,11,1.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.18181818181818177,0.0,0.8674366959649936,0.7184777977331034,0.7479685457770255
171,n04530566,100,0.5,9,0.7777777777777778,0.6666666666666666,0.8888888888888888,0.8571428571428571,0.11111111111111116,0.2222222222222222,0.776385422442226,0.6978451908022404,0.8396077449350489
4,n01503061,100,0.5,38,1.0,0.9210526315789473,0.9473684210526315,0.9210526315789473,0.07894736842105265,0.02631578947368418,0.9153332198785472,0.8477690574853689,0.8661257831774302
107,n03513137,100,0.5,13,0.9230769230769231,0.8461538461538461,0.9230769230769231,0.9166666666666666,0.07692307692307698,0.07692307692307698,0.8208059543848625,0.7659944720002078,0.8224183056520554
163,n04379243,100,0.5,20,0.75,0.7,0.7,0.9333333333333332,0.050000000000000044,0.0,0.7133439639537638,0.6507363696569956,0.6809851819974855
143,n04116512,100,0.5,20,0.05,0.0,0.0,0.0,0.05,0.0,0.09501945581999079,0.0,0.009206669341359597
1,n00007846,100,0.5,143,0.9300699300699301,0.9230769230769231,0.9300699300699301,0.9924812030075189,0.006993006993006978,0.006993006993006978,0.8373292347748484,0.8320533522093053,0.8408878243647351
19,n02084071,100,0.5,36,1.0,1.0,1.0,1.0,0.0,0.0,0.9332375827137027,0.9332375827137027,0.9387166764777839
76,n03001627,100,0.5,27,0.8518518518518519,0.8518518518518519,0.8888888888888888,1.0,0.0,0.03703703703703698,0.6886463504066226,0.6879457442113375,0.717532494197061
