category_id,category_name,groups,candidate_hits,candidate_hit_rate,mean_nearest_iou,mean_hit_iou
126,n03908618,90,0,0.0,0.18336281314906147,0.0
113,n03676483,38,0,0.0,0.6413004735582754,0.0
150,n04252077,38,0,0.0,0.22504912419734815,0.0
98,n03400231,37,0,0.0,0.1467811658575728,0.0
167,n04468005,30,0,0.0,0.31363943237811326,0.0
183,n07695742,27,0,0.0,0.6233597270868443,0.0
75,n03000684,26,0,0.0,0.3063250742136286,0.0
114,n03710721,21,0,0.0,0.1528085915460473,0.0
168,n04487394,19,0,0.0,0.3724021813096969,0.0
42,n02437136,17,0,0.0,0.42492738738656044,0.0
66,n02879718,17,0,0.0,0.2744412097312948,0.0
115,n03720891,14,0,0.0,0.5178758608443397,0.0
105,n03494278,6,0,0.0,0.7260869741439819,0.0
141,n04070727,5,0,0.0,0.5377455890178681,0.0
119,n03770439,4,0,0.0,0.23912138491868973,0.0
87,n03188531,3,0,0.0,0.21284150332212448,0.0
124,n03814639,3,0,0.0,0.2641321172316869,0.0
181,n07615774,3,0,0.0,0.06982052326202393,0.0
186,n07714571,1,0,0.0,0.7922694087028503,0.0
92,n03255030,73,1,0.0136986301369863,0.24848840295732633,0.07508926093578339
74,n02992211,49,1,0.02040816326530612,0.4105847115742461,0.7516524791717529
180,n07583066,32,1,0.03125,0.1923850531456992,0.7658002972602844
144,n04118538,53,2,0.03773584905660377,0.18329262543680533,0.8936629891395569
70,n02924116,50,2,0.04,0.22851621838286518,0.9500605762004852
143,n04116512,25,1,0.04,0.1754809816926718,0.1801701933145523
97,n03394916,40,2,0.05,0.2515740442322567,0.4631248116493225
157,n04330267,58,3,0.05172413793103448,0.18185966214213264,0.5123381018638611
77,n03017168,16,1,0.0625,0.3927115434780717,0.4559440612792969
9,n01770393,30,2,0.06666666666666667,0.392248994919161,0.6069486737251282
139,n04026417,39,3,0.07692307692307693,0.17770081911331567,0.8079702655474345
127,n03908714,12,1,0.08333333333333333,0.579278780768315,0.9412288665771484
79,n03063338,46,4,0.08695652173913043,0.2117929205338916,0.2519337674602866
188,n07718747,77,7,0.09090909090909091,0.1178376167141772,0.6241602333528655
44,n02445715,21,2,0.09523809523809523,0.6995868945405597,0.8669822216033936
88,n03196217,31,3,0.0967741935483871,0.4556276151429742,0.7915564775466919
18,n02076196,20,2,0.1,0.5492850985145197,0.8606688380241394
101,n03467517,18,2,0.1111111111111111,0.35980544032322037,0.48760389164090157
135,n03995372,8,1,0.125,0.7450626082718372,0.9372496008872986
172,n04536866,7,1,0.14285714285714285,0.3928115341280188,0.19331079721450806
6,n01662784,58,9,0.15517241379310345,0.3395613521851342,0.7833002607027689
61,n02815834,31,5,0.16129032258064516,0.24108759409958316,0.27108056396245955
132,n03958227,12,2,0.16666666666666666,0.12666069623082876,0.049877846613526344
14,n01944390,23,4,0.17391304347826086,0.17687444793789284,0.5616633426398039
43,n02444819,16,3,0.1875,0.44326084572821856,0.8626131415367126
162,n04376876,16,3,0.1875,0.3343361302977428,0.5984454527497292
64,n02840245,20,4,0.2,0.45703203305602075,0.4448686111718416
106,n03495258,24,5,0.20833333333333334,0.3672869516691814,0.5843281269073486
3,n01495701,14,3,0.21428571428571427,0.6085211592061179,0.7394065658251444
49,n02510455,14,3,0.21428571428571427,0.48317242723091375,0.7980254888534546
154,n04256520,37,8,0.21621621621621623,0.27505023295462533,0.7096187882125378
194,n07749582,57,13,0.22807017543859648,0.42883667369422157,0.8263435707642481
117,n03761084,13,3,0.23076923076923078,0.33754397181865686,0.9219637314478556
46,n02484322,172,41,0.23837209302325582,0.43955555358132736,0.6295791927770507
125,n03838899,24,6,0.25,0.7039304547943175,0.815092513958613
128,n03916031,12,3,0.25,0.49805849231779575,0.672023872534434
99,n03445777,8,2,0.25,0.44141947478055954,0.9677872061729431
112,n03642806,4,1,0.25,0.6464978531002998,0.933923602104187
165,n04409515,4,1,0.25,0.629100076854229,0.937788188457489
17,n02062744,38,10,0.2631578947368421,0.4943472156301141,0.5189776629209518
148,n04154565,15,4,0.26666666666666666,0.1650743578871091,0.2823607996106148
67,n02880940,33,10,0.30303030303030304,0.4617729032214618,0.6378580637276172
160,n04356056,45,14,0.3111111111111111,0.08852873999211523,0.24626747146248817
40,n02411705,9,3,0.3333333333333333,0.7229674789640639,0.7606055537859598
122,n03797390,6,2,0.3333333333333333,0.28392655736388406,0.4743271657571313
35,n02374451,65,22,0.3384615384615385,0.5042733654272384,0.5808716158975255
120,n03790512,14,5,0.35714285714285715,0.4839622261268752,0.6903467178344727
72,n02958343,134,48,0.3582089552238806,0.29936457444816383,0.42699564366679016
4,n01503061,1018,367,0.3605108055009823,0.33252751528799934,0.5930154755158344
90,n03211117,24,9,0.375,0.2142130322754383,0.4110787610212962
21,n02121808,8,3,0.375,0.5643245470710099,0.8240230282147726
19,n02084071,937,393,0.4194236926360726,0.3305951255714224,0.5153269329446436
54,n02769748,14,6,0.42857142857142855,0.4201433610703264,0.6812455207109451
164,n04392985,7,3,0.42857142857142855,0.10741132923534938,0.029247870047887165
171,n04530566,283,127,0.44876325088339225,0.21192741145295205,0.4255810947025444
38,n02398521,52,24,0.46153846153846156,0.39346728429126626,0.49079119755576056
41,n02419796,69,33,0.4782608695652174,0.3988286212991005,0.5263017597749378
63,n02834778,25,12,0.48,0.5141031603794545,0.6741762980818748
37,n02395003,14,7,0.5,0.614675857392805,0.7645331621170044
84,n03128519,8,4,0.5,0.4065034168306738,0.3240409125573933
80,n03085013,2,1,0.5,0.3620533663779497,0.04268426075577736
179,n06874185,2,1,0.5,0.7308275997638702,0.7590991258621216
1,n00007846,1957,986,0.5038323965252938,0.3141273065626475,0.5054988598222084
7,n01674464,93,49,0.5268817204301075,0.38763913028042324,0.5475996625894795
198,n07768694,111,64,0.5765765765765766,0.08200040298119725,0.10386190457211342
48,n02509815,12,7,0.5833333333333334,0.6469187388817469,0.5870032778808049
60,n02807133,27,16,0.5925925925925926,0.40576733869534953,0.4592714896425605
111,n03636649,47,28,0.5957446808510638,0.2873347082591437,0.3695070265592741
24,n02131653,5,3,0.6,0.7706684976816177,0.9401626586914062
163,n04379243,263,160,0.6083650190114068,0.3525507151496246,0.4857914048363455
51,n02691156,43,27,0.627906976744186,0.3567964772282298,0.5072809205287032
134,n03991062,11,7,0.6363636363636364,0.4778219982981682,0.5587725554193769
107,n03513137,150,100,0.6666666666666666,0.37647803192337354,0.47057057635858657
28,n02268443,35,24,0.6857142857142857,0.27515239343047143,0.3537577552876125
89,n03207941,27,19,0.7037037037037037,0.47457950434613005,0.5444058344552392
58,n02799071,18,13,0.7222222222222222,0.7952816329068608,0.9201872807282668
76,n03001627,177,128,0.7231638418079096,0.40500170830111043,0.4810244442487601
20,n02118333,4,3,0.75,0.8829582035541534,0.9678932229677836
68,n02883205,4,3,0.75,0.49227290600538254,0.5035795668760935
69,n02892767,4,3,0.75,0.2833032011985779,0.2196403443813324
8,n01726692,81,62,0.7654320987654321,0.40497475810762906,0.4546493568848218
177,n04591157,10,8,0.8,0.4300347812473774,0.48499948158860207
2,n01443537,21,17,0.8095238095238095,0.4837976545095444,0.5016282525132684
85,n03134739,6,5,0.8333333333333334,0.7416038115819296,0.7365214228630066
173,n04540053,6,5,0.8333333333333334,0.7864090402921041,0.8051535844802856
191,n07739125,46,39,0.8478260869565217,0.547280136262998,0.5914890839813802
65,n02870880,14,12,0.8571428571428571,0.37054317757221206,0.4153833423430721
182,n07693725,18,16,0.8888888888888888,0.4911416843533516,0.5087353056296706
149,n04228054,71,71,1.0,0.3493814432180264,0.3493814432180264
176,n04557648,1,1,1.0,0.8598426580429077,0.8598426580429077
