slice,images,annotations,ap,ap50,ap75,ap_small,ap_medium,ap_large,ar1,ar10,ar100
all,100,365,0.1920627843292443,0.27526364449620305,0.19574009439910361,0.1692606469291675,0.21463293894359683,0.2731013110464796,0.2516240048131628,0.3949199511454414,0.40596680360521187
offcenter,57,186,0.16055167169486717,0.23432043379293785,0.16568288397278963,0.07665370945378559,0.20919159284399022,0.22776313464537312,0.21494234639629375,0.3954823517126148,0.3995559827599301
center,95,179,0.20793376844243763,0.2773416597444957,0.2222241352375941,0.25749398360063797,0.15367876384695123,0.3008152216033025,0.2902877662692984,0.3907312770069268,0.422954693505309
small,38,176,0.1666752029782903,0.25443062073711903,0.1797925354544274,0.17029518163487728,0.21751838534780943,0.352837675071855,0.18430258467023172,0.32789502164502166,0.3439734530175707
medium,61,103,0.20777379189001716,0.27795137208100323,0.2259602454992022,-1.0,0.07499999999999998,0.253005933394236,0.22959353656505083,0.44559386973180076,0.47214864789827315
large,67,86,0.3505992258358791,0.43591115257857077,0.3818890775303265,-1.0,-1.0,0.3929395343955304,0.45885590791861686,0.6013790715445602,0.6025635208711434
