category_id,category_name,max_groups,high_support_runs,zero_hit_runs,transition,hit_rate_delta_latest_vs_base,nearest_iou_delta_latest_vs_base,base_groups,base_hits,base_hit_rate,base_mean_nearest_iou,base_zero_hit,full_lr_2ep_groups,full_lr_2ep_hits,full_lr_2ep_hit_rate,full_lr_2ep_mean_nearest_iou,full_lr_2ep_zero_hit,extra_low_lr_groups,extra_low_lr_hits,extra_low_lr_hit_rate,extra_low_lr_mean_nearest_iou,extra_low_lr_zero_hit
149,n04228054,71,3,0,persistent_candidate_hit,0.238095238095,-0.0986282628249,21,16,0.761904761905,0.453372513254,0,71,71,1,0.349381443218,0,51,51,1,0.35474425043,0
35,n02374451,71,3,0,persistent_candidate_hit,0.213938805245,0.0473529413924,58,17,0.293103448276,0.414153594235,0,65,22,0.338461538462,0.504273365427,0,71,36,0.507042253521,0.461506535627,0
41,n02419796,69,3,0,persistent_candidate_hit,-0.122792262405,0.0197980255343,29,17,0.586206896552,0.469933478162,0,69,33,0.478260869565,0.398828621299,0,41,19,0.463414634146,0.489731503696,0
194,n07749582,62,3,0,persistent_candidate_hit,0.0438222763238,0.0953622793816,62,16,0.258064516129,0.445800997122,0,57,13,0.228070175439,0.428836673694,0,53,16,0.301886792453,0.541163276503,0
160,n04356056,61,3,0,persistent_candidate_hit,0.0780845556514,0.00200875467364,38,7,0.184210526316,0.0718753489568,0,45,14,0.311111111111,0.0885287399921,0,61,16,0.262295081967,0.0738841036304,0
191,n07739125,61,3,0,persistent_candidate_hit,0.351548269581,0.11404674954,61,26,0.426229508197,0.379515452967,0,46,39,0.847826086957,0.547280136263,0,45,35,0.777777777778,0.493562202507,0
38,n02398521,59,3,0,persistent_candidate_hit,0.291525423729,0.0376771964133,30,6,0.2,0.402926268429,0,52,24,0.461538461538,0.393467284291,0,59,29,0.491525423729,0.440603464842,0
157,n04330267,58,3,0,persistent_candidate_hit,0.108771929825,-0.0327092020538,45,3,0.0666666666667,0.207962308907,0,58,3,0.051724137931,0.181859662142,0,57,10,0.175438596491,0.175253106853,0
79,n03063338,57,3,0,persistent_candidate_hit,-0.270467836257,0.153900488261,36,11,0.305555555556,0.140113223461,0,46,4,0.0869565217391,0.211792920534,0,57,2,0.0350877192982,0.294013711722,0
111,n03636649,54,3,0,persistent_candidate_hit,0.329861111111,-0.061478487397,32,9,0.28125,0.331721497467,0,47,28,0.595744680851,0.287334708259,0,54,33,0.611111111111,0.27024301007,0
70,n02924116,52,3,0,persistent_candidate_hit,-0.0119658119658,0.0432837992993,45,4,0.0888888888889,0.135481836616,0,50,2,0.04,0.228516218383,0,52,4,0.0769230769231,0.178765635915,0
90,n03211117,48,3,0,persistent_candidate_hit,-0.398550724638,-0.101081646547,23,13,0.565217391304,0.209320803051,0,24,9,0.375,0.214213032275,0,48,8,0.166666666667,0.108239156504,0
154,n04256520,45,3,0,persistent_candidate_hit,-0.00757575757576,0.0130982156283,44,15,0.340909090909,0.351434549507,0,37,8,0.216216216216,0.275050232955,0,45,15,0.333333333333,0.364532765136,0
139,n04026417,43,3,0,persistent_candidate_hit,0.0747508305648,0.0129689409038,43,6,0.139534883721,0.152053031117,0,39,3,0.0769230769231,0.177700819113,0,42,9,0.214285714286,0.165021972021,0
51,n02691156,43,3,0,persistent_candidate_hit,0.141666666667,-0.0433310867076,27,9,0.333333333333,0.314030660144,0,43,27,0.627906976744,0.356796477228,0,40,19,0.475,0.270699573436,0
97,n03394916,40,3,0,persistent_candidate_hit,-0.0599294947121,0.076641599593,23,2,0.0869565217391,0.251161164483,0,40,2,0.05,0.251574044232,0,37,1,0.027027027027,0.327802764076,0
162,n04376876,35,2,0,persistent_candidate_hit,-0.0107142857143,-0.147975990387,24,3,0.125,0.341999454841,0,16,3,0.1875,0.334336130298,0,35,4,0.114285714286,0.194023464454,0
