slice,images,annotations,ap,ap50,ap75,ap_small,ap_medium,ap_large,ar1,ar10,ar100
all,100,365,0.1064555326004399,0.15395593816590047,0.10345453726252621,0.09808818820055669,0.1210597384379852,0.17062096528853135,0.18903682673002167,0.30364209629492217,0.3228368907780672
offcenter,57,186,0.09162128369972411,0.1341588369529519,0.09609641205915678,0.04846287986332021,0.10178251478877587,0.18310464885418182,0.1980334928229665,0.3207931001746791,0.3416399901268322
center,95,179,0.11794358057846009,0.15793840199269832,0.11211143705182194,0.14362123054410703,0.17396596173404594,0.16489131826927633,0.1954955703211517,0.29182420254923674,0.3223322041995092
small,38,176,0.07042828061915489,0.1251027268282281,0.08154163973723276,0.09824601301590856,0.1373889771502758,0.1472840023647109,0.16750350140056022,0.26470397249809013,0.2879071173924115
medium,61,103,0.16641762316996178,0.21795726173739732,0.1670826274940614,-1.0,0.045000000000000005,0.1969139409788719,0.23973013493253373,0.3325823199511356,0.3582778055416736
large,67,86,0.22455949776465206,0.2538626713003788,0.2246472311665179,-1.0,-1.0,0.23454912987718032,0.3206665711465597,0.5328394147801445,0.537104387556914
