slice,images,annotations,ap,ap50,ap75,ap_small,ap_medium,ap_large,ar1,ar10,ar100
all,35,158,0.02345268225749028,0.03613701080162136,0.03158911680989828,0.012831705539329401,0.004034619258658115,0.3499999999999999,0.025306122448979593,0.047102040816326525,0.06544897959183672
offcenter,28,110,0.034481159077530035,0.05343832195463536,0.046597885817106076,0.01763682875647752,0.005491311153615402,0.6999999999999998,0.038503086419753085,0.07022707231040565,0.09918981481481479
small,35,158,0.02345268225749028,0.03613701080162136,0.03158911680989828,0.012831705539329401,0.004034619258658115,0.3499999999999999,0.025306122448979593,0.047102040816326525,0.06544897959183672
