slice,images,annotations,ap,ap50,ap75,ap_small,ap_medium,ap_large,ar1,ar10,ar100
all,100,365,0.14710766748735812,0.2065950237172149,0.14910093322533824,0.1093475858002361,0.18864525674957414,0.24146662755114945,0.24232009190775047,0.3612927705171073,0.37209238004509054
offcenter,57,186,0.12433094970303235,0.1795112881351658,0.1314215607464383,0.054087470265482905,0.16030190224193383,0.22491573007765375,0.1947529619503304,0.3364346377306904,0.34924806334016867
center,95,179,0.1858975382388964,0.25268437203879696,0.18668916740566088,0.16230811145024274,0.2511025443474518,0.25375511200979356,0.29946984995548603,0.41713444292445656,0.4315499533146592
small,38,176,0.1070393558166079,0.16973819101962667,0.12008102453365327,0.11461005704498041,0.206575064510501,0.3391910161712141,0.1549745352686529,0.27665839062897885,0.30751209574738986
medium,61,103,0.17703623083162226,0.25622108639768193,0.18637422573822487,-1.0,0.1125,0.2162085859362281,0.20112999056027542,0.4268004886445666,0.4294089066577822
large,67,86,0.3525373348644722,0.39731122618417664,0.3708347745196479,-1.0,-1.0,0.36325149855143796,0.5413235902824212,0.6934190626293502,0.6997409017098098
