category_id,category_name,top_k,iou_threshold,gt_count,global_topk_loc_recall,global_topk_class_recall,per_category_topk_class_recall,global_category_retention,loc_to_class_gap,ranking_gap,mean_global_loc_best_iou,mean_global_class_best_iou,mean_per_category_class_best_iou
129,n03928116,100,0.75,1,1.0,0.0,0.0,0.0,1.0,0.0,0.9383011797056067,0.0,0.0
131,n03950228,100,0.75,1,1.0,0.0,0.0,0.0,1.0,0.0,0.7866415960918143,0.0,0.0
141,n04070727,100,0.75,1,1.0,0.0,0.0,0.0,1.0,0.0,0.751555487357341,0.0,0.34330532928144947
168,n04487394,100,0.75,1,1.0,0.0,1.0,0.0,1.0,1.0,0.8009912367036934,0.01889099107106382,0.8009912367036934
47,n02503517,100,0.75,11,0.9090909090909091,0.0,0.0,0.0,0.9090909090909091,0.0,0.8178403141355127,0.0,0.0
58,n02799071,100,0.75,9,0.8888888888888888,0.0,0.0,0.0,0.8888888888888888,0.0,0.8092519211361006,0.0,0.0
186,n07714571,100,0.75,18,0.8888888888888888,0.05555555555555555,0.2222222222222222,0.0625,0.8333333333333333,0.16666666666666666,0.8444312589430775,0.05950004895148543,0.20927141808611183
164,n04392985,100,0.75,3,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,0.0,0.9342970514213818,0.3131970682762336,0.3131970682762336
94,n03314780,100,0.75,3,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.8053258979240739,0.5044936460162754,0.6695400855457888
83,n03124170,100,0.75,8,0.75,0.25,0.25,0.3333333333333333,0.5,0.0,0.819533907744553,0.30379890774918183,0.30379890774918183
62,n02828884,100,0.75,4,0.75,0.25,0.75,0.3333333333333333,0.5,0.5,0.7978784129534269,0.24536008275206683,0.7722900323819875
6,n01662784,100,0.75,2,1.0,0.5,0.5,0.5,0.5,0.0,0.8597766721221508,0.8133059460320997,0.8133059460320997
12,n01882714,100,0.75,2,0.5,0.0,0.0,0.0,0.5,0.0,0.705982580408898,0.0,0.31161280826483473
26,n02206856,100,0.75,2,0.5,0.0,0.0,0.0,0.5,0.0,0.5191065838952924,0.31082828265052387,0.31082828265052387
42,n02437136,100,0.75,2,1.0,0.5,1.0,0.5,0.5,0.5,0.9481297244347606,0.46670292979224876,0.9449309111053099
91,n03249569,100,0.75,2,0.5,0.0,0.0,0.0,0.5,0.0,0.7349029650051775,0.0,0.0
120,n03790512,100,0.75,2,1.0,0.5,1.0,0.5,0.5,0.5,0.899978946910913,0.4297119999313288,0.8922383226115714
200,n07880968,100,0.75,2,0.5,0.0,0.5,0.0,0.5,0.5,0.7793827618208031,0.0,0.47040012964779127
183,n07695742,100,0.75,11,0.6363636363636364,0.18181818181818182,0.45454545454545453,0.28571428571428575,0.45454545454545453,0.2727272727272727,0.7507139309514371,0.17303786101674667,0.48101834241728497
122,n03797390,100,0.75,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.0,0.774409662811041,0.6241934865150311,0.6241934865150311
157,n04330267,100,0.75,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.0,0.7675378197516595,0.46089717213152354,0.5624889045829141
54,n02769748,100,0.75,8,0.375,0.125,0.125,0.3333333333333333,0.25,0.0,0.5292119973872605,0.18934006837571343,0.19511400978789495
84,n03128519,100,0.75,4,0.75,0.5,0.75,0.6666666666666666,0.25,0.25,0.856615274317517,0.790053276656203,0.856615274317517
82,n03110669,100,0.75,5,0.4,0.2,0.2,0.5,0.2,0.0,0.628362093466192,0.4611757230584341,0.469792577782679
108,n03535780,100,0.75,6,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.18169794917348403,0.0,0.15531293430672255
70,n02924116,100,0.75,7,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.1428571428571428,0.0,0.7830559026123262,0.7718426369155803,0.7718426369155803
171,n04530566,100,0.75,11,0.6363636363636364,0.5454545454545454,0.5454545454545454,0.8571428571428571,0.09090909090909094,0.0,0.6714499323409742,0.5946838369973404,0.6047310588646537
142,n04074963,100,0.75,12,0.5833333333333334,0.5,0.5833333333333334,0.8571428571428571,0.08333333333333337,0.08333333333333337,0.7021828859780245,0.4743478315012184,0.5546301809907624
4,n01503061,100,0.75,53,0.9622641509433962,0.9433962264150944,0.9622641509433962,0.9803921568627451,0.018867924528301883,0.018867924528301883,0.9044281080549277,0.8868901137654966,0.903892427977904
1,n00007846,100,0.75,122,0.7868852459016393,0.7786885245901639,0.7950819672131147,0.9895833333333334,0.008196721311475419,0.016393442622950838,0.8196501383435363,0.8045203173792674,0.8190894508904513
19,n02084071,100,0.75,54,0.9629629629629629,0.9629629629629629,0.9629629629629629,1.0,0.0,0.0,0.9282688901666136,0.9273018931396927,0.9288866621758562
72,n02958343,100,0.75,30,0.7666666666666667,0.7666666666666667,0.8,1.0,0.0,0.033333333333333326,0.8367474820847072,0.83445304927196,0.836639544778144
76,n03001627,100,0.75,13,0.8461538461538461,0.8461538461538461,0.8461538461538461,1.0,0.0,0.0,0.8760714387307623,0.8366149921837717,0.8386710290645046
18,n02076196,100,0.75,10,0.5,0.5,0.6,1.0,0.0,0.09999999999999998,0.7089994966887307,0.6243142250585217,0.6721556197024707
143,n04116512,100,0.75,10,0.0,0.0,0.1,0.0,0.0,0.1,0.04762617859326331,0.026322507988079547,0.099911306844567
39,n02402425,100,0.75,9,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.0,0.0,0.0,0.8165187425934441,0.7445352864578934,0.7793314442615383
111,n03636649,100,0.75,8,0.375,0.375,0.5,1.0,0.0,0.125,0.577094107094767,0.5739997166689772,0.6978711978693204
29,n02274259,100,0.75,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,0.0,0.0,0.7483683619341991,0.7477308930754657,0.7477375702338166
160,n04356056,100,0.75,7,0.42857142857142855,0.42857142857142855,0.5714285714285714,1.0,0.0,0.14285714285714285,0.6857628591116631,0.6857628591116631,0.7014382964944039
163,n04379243,100,0.75,7,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,0.0,0.0,0.9161269637636061,0.9161269637636061,0.9161269637636061
