category_id,category_name,top_k,iou_threshold,gt_count,global_topk_loc_recall,global_topk_class_recall,per_category_topk_class_recall,global_category_retention,loc_to_class_gap,ranking_gap,mean_global_loc_best_iou,mean_global_class_best_iou,mean_per_category_class_best_iou,train_gt_count,valid_gt_count,test_gt_count
188,n07718747,1,0.5,4,0.25,0.0,0.5,0.0,0.25,0.5,0.29438486728932944,0.0,0.46636611286691454,21,0,4
183,n07695742,1,0.5,9,0.2222222222222222,0.0,0.0,0.0,0.2222222222222222,0.0,0.23742162387143648,0.0,0.0,20,0,9
72,n02958343,1,0.5,14,0.21428571428571427,0.0,0.35714285714285715,0.0,0.21428571428571427,0.35714285714285715,0.21477905378753442,0.0,0.33651566600502064,70,21,14
113,n03676483,1,0.5,11,0.18181818181818182,0.0,0.0,0.0,0.18181818181818182,0.0,0.1957179443336252,0.0,0.0,20,0,11
58,n02799071,1,0.5,6,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16262806735789684,0.0,0.15983562193491269,18,1,6
194,n07749582,1,0.5,13,0.15384615384615385,0.0,0.15384615384615385,0.0,0.15384615384615385,0.15384615384615385,0.15365336544922276,0.0,0.15365336544922276,25,8,13
92,n03255030,1,0.5,14,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,0.0,0.09477833841709236,0.0,0.006897459631546468,21,0,14
163,n04379243,1,0.5,20,0.05,0.0,0.2,0.0,0.05,0.2,0.08258525818959338,0.0,0.18657213585462368,96,20,20
76,n03001627,1,0.5,27,0.18518518518518517,0.14814814814814814,0.37037037037037035,0.8,0.037037037037037035,0.2222222222222222,0.1631925271423329,0.12265708081019094,0.3204146175824928,125,25,27
4,n01503061,1,0.5,38,0.7105263157894737,0.6842105263157895,0.7105263157894737,0.962962962962963,0.02631578947368418,0.02631578947368418,0.6381660323160842,0.621835982965258,0.6396028684480336,180,23,38
1,n00007846,1,0.5,143,0.4125874125874126,0.4125874125874126,0.45454545454545453,1.0,0.0,0.041958041958041925,0.4138091839571268,0.40391866222085704,0.44783189969375803,746,179,143
19,n02084071,1,0.5,36,0.6944444444444444,0.6944444444444444,0.6944444444444444,1.0,0.0,0.0,0.7009398183671015,0.7009398183671015,0.7009398183671015,196,46,36
143,n04116512,1,0.5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.005978926662338178,0.0,0.0,43,11,20
107,n03513137,1,0.5,13,0.0,0.0,0.3076923076923077,0.0,0.0,0.3076923076923077,0.0889262527494482,0.0,0.29275888677144746,56,25,13
111,n03636649,1,0.5,13,0.0,0.0,0.0,0.0,0.0,0.0,0.003366363212865828,0.0,0.0028966502294694944,32,4,13
191,n07739125,1,0.5,11,0.0,0.0,0.2727272727272727,0.0,0.0,0.2727272727272727,0.050759681689841886,0.0,0.23721554238117531,31,8,11
160,n04356056,1,0.5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.007902060620774575,0.0,0.0,36,1,6
63,n02834778,1,0.5,5,0.0,0.0,0.4,0.0,0.0,0.4,0.18763531717536483,0.0,0.3773540901855916,15,2,5
51,n02691156,1,0.5,4,0.0,0.0,0.25,0.0,0.0,0.25,0.03488833402931693,0.0,0.24112886795192587,15,0,4
75,n03000684,1,0.5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.07338971258631566,0.0,0.0,18,0,4
120,n03790512,1,0.5,4,0.0,0.0,0.25,0.0,0.0,0.25,0.11165349466169451,0.0,0.23696520936315404,19,6,4
132,n03958227,1,0.5,4,0.0,0.0,0.25,0.0,0.0,0.25,0.024344122980630056,0.0,0.20612460318729847,29,2,4
149,n04228054,1,0.5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.03686162816374371,0.0,0.1572297389373428,22,0,4
69,n02892767,1,0.5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.13003303496001542,0.0,0.13003303496001542,23,0,3
90,n03211117,1,0.5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.03663927194513461,0.0,0.054763784429774726,39,6,3
98,n03400231,1,0.5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.02310641106731796,0.0,0.0,16,3,3
157,n04330267,1,0.5,3,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.016969165826498635,0.0,0.22881015182170938,11,0,3
167,n04468005,1,0.5,3,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.00716298597801545,0.0,0.3313083822324953,8,1,3
177,n04591157,1,0.5,3,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.012308892236428379,0.0,0.30134100803778563,10,1,3
54,n02769748,1,0.5,2,0.0,0.0,0.5,0.0,0.0,0.5,0.21921962701642886,0.0,0.421606558928299,19,9,2
60,n02807133,1,0.5,2,0.0,0.0,0.5,0.0,0.0,0.5,0.1313907391588689,0.0,0.4230749574687675,13,0,2
79,n03063338,1,0.5,2,0.0,0.0,0.5,0.0,0.0,0.5,0.023083605330728615,0.0,0.4566669523779658,5,0,2
85,n03134739,1,0.5,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.44989115430636106,10,4,2
97,n03394916,1,0.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.11222863014637431,0.0,0.09988988519361656,12,0,2
106,n03495258,1,0.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.3550123255101243,0.0,0.0,11,0,2
114,n03710721,1,0.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.3640239012310076,0.0,0.0,6,0,2
134,n03991062,1,0.5,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.28038888750518437,38,1,2
139,n04026417,1,0.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.02331931567996004,0.0,0.017086164488978532,22,8,2
144,n04118538,1,0.5,2,0.0,0.0,0.5,0.0,0.0,0.5,0.019355487407050603,0.0,0.42204609529880277,5,1,2
148,n04154565,1,0.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.06811304235515066,0.0,0.0,12,1,2
164,n04392985,1,0.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2,2
168,n04487394,1,0.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.17955169630006249,0.0,0.0,7,4,2
173,n04540053,1,0.5,2,0.0,0.0,1.0,0.0,0.0,1.0,0.013571887019802149,0.0,0.8358641202165741,8,1,2
180,n07583066,1,0.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.15230484573091993,0.0,0.0,7,2,2
14,n01944390,1,0.5,1,0.0,0.0,1.0,0.0,0.0,1.0,0.06254443817660064,0.0,0.7175297055837656,13,0,1
24,n02131653,1,0.5,1,1.0,1.0,1.0,1.0,0.0,0.0,0.9569397204213901,0.9569397204213901,0.9569397204213901,16,2,1
42,n02437136,1,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3337660725176843,0.0,0.0,12,2,1
61,n02815834,1,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.35562971292645745,0.0,0.35562971292645745,21,0,1
65,n02870880,1,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2590928373176797,0.0,0.49986179986634655,19,2,1
66,n02879718,1,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.42694347328457377,0.0,0.0,7,0,1
68,n02883205,1,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.01996773092188068,0.0,0.0,19,1,1
77,n03017168,1,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.45995754908708986,0.0,0.0,18,2,1
80,n03085013,1,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.22760237758546803,0.0,0.0,19,3,1
87,n03188531,1,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.15460152768517005,0.0,0.18662058512074398,15,0,1
88,n03196217,1,0.5,1,1.0,1.0,1.0,1.0,0.0,0.0,0.9898917854445097,0.9898917854445097,0.9898917854445097,17,0,1
89,n03207941,1,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2435427594739406,0.0,0.481017009714567,8,1,1
101,n03467517,1,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.018221892606607445,0.0,0.0,18,0,1
105,n03494278,1,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2765774478475856,0.0,0.0,13,0,1
112,n03642806,1,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.28930921694865963,0.0,0.0,7,3,1
116,n03759954,1,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.007438261376773882,0.0,0.0,28,8,1
119,n03770439,1,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.11386190907724836,0.0,0.0,13,2,1
122,n03797390,1,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,4,1
124,n03814639,1,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2,1
126,n03908618,1,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.053742550631037785,0.0,0.0,8,5,1
127,n03908714,1,0.5,1,0.0,0.0,1.0,0.0,0.0,1.0,0.24461221102799835,0.0,0.9878236269893522,26,1,1
141,n04070727,1,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.01679691534158591,0.0,0.0,6,0,1
150,n04252077,1,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.24233467943230258,0.0,0.0,6,0,1
165,n04409515,1,0.5,1,0.0,0.0,1.0,0.0,0.0,1.0,0.007856742589347572,0.0,0.9064336725274027,28,0,1
172,n04536866,1,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1575176174266174,0.0,0.0,13,0,1
176,n04557648,1,0.5,1,0.0,0.0,1.0,0.0,0.0,1.0,0.03647748626122259,0.0,0.8353126000874787,24,5,1
179,n06874185,1,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,12,1
181,n07615774,1,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.051263987463015234,0.0,0.018299066781016792,11,0,1
186,n07714571,1,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.03742000160779711,0.0,0.0,36,0,1
120,n03790512,5,0.5,4,1.0,0.0,0.25,0.0,1.0,0.25,0.7173992223494984,0.0,0.23696520936315404,19,6,4
188,n07718747,5,0.5,4,1.0,0.0,0.75,0.0,1.0,0.75,0.8703921021747706,0.0,0.6365659255684857,21,0,4
35,n02374451,5,0.5,3,1.0,0.0,1.0,0.0,1.0,1.0,0.9551816630652897,0.0,0.9551816630652897,30,0,3
74,n02992211,5,0.5,3,1.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.7424682899308084,0.0,0.3265929096810223,6,1,3
3,n01495701,5,0.5,2,1.0,0.0,0.0,0.0,1.0,0.0,0.7893253646634755,0.0,0.0,14,1,2
17,n02062744,5,0.5,2,1.0,0.0,1.0,0.0,1.0,1.0,0.8625266645025146,0.0,0.7704238009130921,6,0,2
18,n02076196,5,0.5,2,1.0,0.0,1.0,0.0,1.0,1.0,0.9263517026669317,0.0,0.861373465754519,17,0,2
21,n02121808,5,0.5,2,1.0,0.0,1.0,0.0,1.0,1.0,0.950749568254071,0.0,0.950749568254071,19,2,2
43,n02444819,5,0.5,2,1.0,0.0,1.0,0.0,1.0,1.0,0.827619343487485,0.0,0.827619343487485,8,0,2
44,n02445715,5,0.5,2,1.0,0.0,1.0,0.0,1.0,1.0,0.9004895082733959,0.0,0.9004895082733959,6,0,2
48,n02509815,5,0.5,2,1.0,0.0,1.0,0.0,1.0,1.0,0.9728964548624697,0.0,0.9728964548624697,6,0,2
70,n02924116,5,0.5,2,1.0,0.0,1.0,0.0,1.0,1.0,0.9423461607487957,0.0,0.9423461607487957,17,0,2
85,n03134739,5,0.5,2,1.0,0.0,1.0,0.0,1.0,1.0,0.8250828952533855,0.0,0.8250828952533855,10,4,2
128,n03916031,5,0.5,2,1.0,0.0,1.0,0.0,1.0,1.0,0.8944056300891161,0.0,0.8944056300891161,7,1,2
139,n04026417,5,0.5,2,1.0,0.0,1.0,0.0,1.0,1.0,0.9734921761795188,0.0,0.9734921761795188,22,8,2
182,n07693725,5,0.5,2,1.0,0.0,1.0,0.0,1.0,1.0,0.9699098118941596,0.0,0.9699098118941596,19,0,2
9,n01770393,5,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.9455885444953351,0.0,0.9455885444953351,6,0,1
14,n01944390,5,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.7175297055837656,0.0,0.7175297055837656,13,0,1
20,n02118333,5,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.9601771694171108,0.0,0.9601771694171108,10,6,1
28,n02268443,5,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.9533917245272963,0.0,0.9533917245272963,9,0,1
42,n02437136,5,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.6061986173839806,0.0,0.0,12,2,1
49,n02510455,5,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.9595404923548674,0.0,0.5854879997622441,6,0,1
80,n03085013,5,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.5562226616328273,0.0,0.0,19,3,1
84,n03128519,5,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.7660156025815623,0.0,0.7660156025815623,36,3,1
99,n03445777,5,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.9502262411919675,0.0,0.9502262411919675,20,0,1
112,n03642806,5,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.9625271848669708,0.0,0.0,7,3,1
122,n03797390,5,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.9550589070354851,0.0,0.0,32,4,1
127,n03908714,5,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.9878236269893522,0.0,0.9878236269893522,26,1,1
135,n03995372,5,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.9552890707934286,0.0,0.9552890707934286,5,0,1
150,n04252077,5,0.5,1,1.0,0.0,0.0,0.0,1.0,0.0,0.5883335354996374,0.0,0.0,6,0,1
165,n04409515,5,0.5,1,1.0,0.0,1.0,0.0,1.0,1.0,0.9064336725274027,0.0,0.9064336725274027,28,0,1
46,n02484322,5,0.5,11,0.8181818181818182,0.0,0.8181818181818182,0.0,0.8181818181818182,0.8181818181818182,0.7030970801533541,0.0,0.7261383042154897,29,6,11
64,n02840245,5,0.5,4,0.75,0.0,0.0,0.0,0.75,0.0,0.6711467304336216,0.0,0.0,12,2,4
198,n07768694,5,0.5,4,0.75,0.0,0.5,0.0,0.75,0.5,0.7503109683059037,0.0,0.4733793060399144,26,1,4
183,n07695742,5,0.5,9,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.6588030081634113,0.0,0.0,20,0,9
2,n01443537,5,0.5,3,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6751835024425282,0.0,0.33342057130429575,19,0,3
67,n02880940,5,0.5,3,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6165511314604769,0.0,0.3174144905074895,56,8,3
117,n03761084,5,0.5,3,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.606426799712791,0.0,0.0,5,0,3
125,n03838899,5,0.5,3,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.4025260446349151,0.0,0.6868076425142405,9,1,3
167,n04468005,5,0.5,3,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6203235714994446,0.0,0.6203235714994446,8,1,3
191,n07739125,5,0.5,11,0.6363636363636364,0.0,0.6363636363636364,0.0,0.6363636363636364,0.6363636363636364,0.5498722010356039,0.0,0.5636897932147676,31,8,11
63,n02834778,5,0.5,5,0.6,0.0,0.4,0.0,0.6,0.4,0.5161117249963498,0.0,0.3773540901855916,15,2,5
113,n03676483,5,0.5,11,0.5454545454545454,0.0,0.0,0.0,0.5454545454545454,0.0,0.5233213529715569,0.0,0.0,20,0,11
58,n02799071,5,0.5,6,0.5,0.0,0.8333333333333334,0.0,0.5,0.8333333333333334,0.4842003272075921,0.0,0.8010773642593412,18,1,6
154,n04256520,5,0.5,4,0.75,0.25,0.75,0.3333333333333333,0.5,0.5,0.63268228305602,0.2426501848681229,0.8371853520944084,16,5,4
38,n02398521,5,0.5,2,0.5,0.0,0.5,0.0,0.5,0.5,0.5171217852469948,0.0,0.5171217852469948,6,0,2
40,n02411705,5,0.5,2,1.0,0.5,1.0,0.5,0.5,0.5,0.9373383341375048,0.5196585412814384,0.9373383341375048,19,1,2
54,n02769748,5,0.5,2,0.5,0.0,0.5,0.0,0.5,0.5,0.5036002645426711,0.0,0.421606558928299,19,9,2
79,n03063338,5,0.5,2,0.5,0.0,1.0,0.0,0.5,1.0,0.463065854061715,0.0,0.76181440660065,5,0,2
115,n03720891,5,0.5,2,0.5,0.0,0.5,0.0,0.5,0.5,0.5653789875967696,0.0,0.5653789875967696,11,1,2
134,n03991062,5,0.5,2,0.5,0.0,0.5,0.0,0.5,0.5,0.43019100293925,0.0,0.43019100293925,38,1,2
148,n04154565,5,0.5,2,0.5,0.0,0.0,0.0,0.5,0.0,0.44458887652607854,0.0,0.0,12,1,2
162,n04376876,5,0.5,2,0.5,0.0,0.5,0.0,0.5,0.5,0.4649281420708209,0.0,0.4577168709807863,12,0,2
168,n04487394,5,0.5,2,0.5,0.0,0.0,0.0,0.5,0.0,0.5774834612812125,0.0,0.0,7,4,2
180,n07583066,5,0.5,2,0.5,0.0,0.0,0.0,0.5,0.0,0.3802785881625798,0.0,0.0,7,2,2
194,n07749582,5,0.5,13,0.46153846153846156,0.0,0.23076923076923078,0.0,0.46153846153846156,0.23076923076923078,0.43773994195316274,0.0,0.2370660325338455,25,8,13
37,n02395003,5,0.5,3,0.6666666666666666,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666667,0.754303443515797,0.38163647707506715,0.9118798499081106,15,0,3
98,n03400231,5,0.5,3,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.24160897546280893,0.0,0.0,16,3,3
157,n04330267,5,0.5,3,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.29013546071181845,0.0,0.2709546242571345,11,0,3
92,n03255030,5,0.5,14,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.0,0.32715586799828433,0.0,0.006897459631546468,21,0,14
51,n02691156,5,0.5,4,0.25,0.0,0.25,0.0,0.25,0.25,0.24112886795192587,0.0,0.24112886795192587,15,0,4
72,n02958343,5,0.5,14,0.5,0.2857142857142857,0.6428571428571429,0.5714285714285714,0.2142857142857143,0.3571428571428572,0.47300387724717424,0.27488223350232727,0.6300347021140997,70,21,14
107,n03513137,5,0.5,13,0.15384615384615385,0.0,0.7692307692307693,0.0,0.15384615384615385,0.7692307692307693,0.24175246852353569,0.0,0.6757200527608701,56,25,13
163,n04379243,5,0.5,20,0.15,0.05,0.45,0.33333333333333337,0.09999999999999999,0.4,0.20362461759821365,0.02997865551367108,0.43771795546569237,96,20,20
76,n03001627,5,0.5,27,0.4444444444444444,0.4074074074074074,0.5555555555555556,0.9166666666666666,0.037037037037037035,0.1481481481481482,0.38741137645108853,0.34025978649895033,0.47741241661057066,125,25,27
4,n01503061,5,0.5,38,0.9210526315789473,0.8947368421052632,0.9736842105263158,0.9714285714285714,0.02631578947368418,0.07894736842105265,0.8465368131036362,0.8207302058400502,0.8919476159885701,180,23,38
1,n00007846,5,0.5,143,0.8391608391608392,0.8391608391608392,0.8531468531468531,1.0,0.0,0.013986013986013957,0.7592732565416124,0.7592732565416124,0.7723857053039056,746,179,143
19,n02084071,5,0.5,36,1.0,1.0,1.0,1.0,0.0,0.0,0.9356457809777472,0.9356457809777472,0.9364020533389348,196,46,36
143,n04116512,5,0.5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.016924551946441258,0.0,0.0,43,11,20
111,n03636649,5,0.5,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0252833455974895,0.0,0.0028966502294694944,32,4,13
171,n04530566,5,0.5,9,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.0,0.0,0.0,0.7393959899393648,0.7378489049667584,0.7567114037494004,56,18,9
160,n04356056,5,0.5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.017009983619516958,0.0,0.0,36,1,6
6,n01662784,5,0.5,5,0.4,0.4,0.6,1.0,0.0,0.19999999999999996,0.3737264530090769,0.3737264530090769,0.6035619180750742,23,2,5
7,n01674464,5,0.5,4,1.0,1.0,1.0,1.0,0.0,0.0,0.7679702832971488,0.7679702832971488,0.9130453980407804,23,2,4
8,n01726692,5,0.5,4,1.0,1.0,1.0,1.0,0.0,0.0,0.8573539692620578,0.8573539692620578,0.9283497837812265,34,4,4
