model,ap,ap50,ap75,loc_ap,loc_ap50,loc_ap75,offcenter_ap50,center_ap50,small_ap50,medium_ap50,large_ap50,candidate_hit_rate,candidate_mean_nearest_iou,candidate_mean_hit_iou,candidate_oracle_ap,candidate_oracle_ap50,candidate_oracle_ap75
base_regular,0.1543147747997268,0.1868902028856817,0.1644554659738168,0.4206144928861559,0.5584346117298608,0.4483858645184529,0.1674953666001062,0.1876886712507561,0.1544043451433597,0.2225534982623497,0.2967588957842987,0.3686392224128073,0.3217567785738586,0.4859202225385981,0.3868499872150813,0.4996383614464082,0.4125724487905194
class_head_1ep,0.1609008286412216,0.1941587405223548,0.1704164056413713,0.4253106702091283,0.5661487620432049,0.4498873556833384,0.1797584008157025,0.1880139173672168,0.1617987298889646,0.2203422246692333,0.3037364334306963,,,,,,
query_class_1ep,0.1602922729639106,0.1938027260044908,0.1707431542737371,0.4269464125507748,0.5677188243824024,0.4546617469620592,0.1786472651681778,0.1891562654016278,0.1620863815588484,0.2283673596451733,0.3037473007363044,,,,,,
decoder_class_1ep,0.161492416747429,0.1967522306060642,0.1733683684581937,0.4221843286628711,0.5596845892961477,0.4480571456963013,0.1783117011881041,0.18742020155388,0.1573021348363747,0.2110311509199094,0.30878848756169,0.3526391210890852,0.3062100783943212,0.4874424394456206,0.3820513317488395,0.497385461396649,0.4172016465123952
hardcat_oversample_classhead_1ep,0.1624314531177475,0.1960928814987526,0.1729087262437465,0.424140496896949,0.5629298134194651,0.4499470352470231,0.1798419161933833,0.186038345977809,0.1636374303091821,0.2314842725840899,0.3076502820815075,0.3406409971066103,0.2944307870793574,0.4715215414044552,0.3747696935303483,0.4875361508610639,0.398954684903148
