slice,images,annotations,ap,ap50,ap75,ap_small,ap_medium,ap_large,ar1,ar10,ar100
all,35,158,0.12197971584580515,0.18788513691229178,0.1469540718703229,0.0671987198719872,0.18883633716627063,0.0,0.051861471861471865,0.21025974025974026,0.25700757575757577
offcenter,28,110,0.09455993887208494,0.18159524800923316,0.11913192807375976,0.07781078107810781,0.14013078151987649,0.0,0.03591269841269842,0.15503968253968253,0.2035714285714286
small,35,158,0.12197971584580515,0.18788513691229178,0.1469540718703229,0.0671987198719872,0.18883633716627063,0.0,0.051861471861471865,0.21025974025974026,0.25700757575757577
