slice,images,annotations,ap,ap50,ap75,ap_small,ap_medium,ap_large,ar1,ar10,ar100
all,100,365,0.19386186757629764,0.29231950888700986,0.1801873406209981,0.14763133619048083,0.20906449088161386,0.28911769579832897,0.22712707398116855,0.4192076347122483,0.42612004841243606
offcenter,57,186,0.17209826928373034,0.25623054383420435,0.15385860612293292,0.06816087086603033,0.18432178756864823,0.2709630834977404,0.22097889610389612,0.4188477823346244,0.42463127515759097
center,95,179,0.19590397303820659,0.27602410757635026,0.200965211838431,0.19690849530444585,0.20182901507541667,0.29455302446513376,0.25097604933446244,0.4084152498208586,0.42758077649664517
small,38,176,0.15971534723530337,0.29209967297123746,0.1220787900669727,0.14788987264482967,0.2120930423988829,0.3441944194419441,0.15353927934810288,0.3586618283677107,0.36753087598675827
medium,61,103,0.20069979270679797,0.25546989503824263,0.22388527528123559,-1.0,0.06428571428571427,0.2813436627592769,0.26639874507190847,0.4813371092231662,0.49211921816869336
large,67,86,0.3611107280914547,0.42351911120237534,0.3797542623052103,-1.0,-1.0,0.39406388276457843,0.42928765880217784,0.6218219664406024,0.6286735441143694
