slice,images,annotations,ap,ap50,ap75,ap_small,ap_medium,ap_large,ar1,ar10,ar100
all,330,1610,0.3301546495297703,0.40334505571344387,0.36818489465698506,0.1939607685739054,0.35198146213406023,0.48188562634709986,0.3206282035333066,0.4156241532692878,0.4162016550322908
offcenter,330,1012,0.2543277238660412,0.31288527715579784,0.28256422727360114,0.1661277762168594,0.34249017378577656,0.3660394580279229,0.27796037646418553,0.4025935896689311,0.40264957369443166
center,282,598,0.2968831322408854,0.352364313998487,0.33297933231616683,0.18341558821433981,0.24484565728688812,0.4795151652082954,0.37182113038022624,0.47178226315528293,0.47313694295823866
small,207,754,0.20468823848999093,0.2794658160330619,0.23969634026968756,0.1946333507620382,0.344765719088291,0.22101974617305978,0.23381309718329338,0.34502444880902033,0.3459757163453236
medium,266,569,0.35751563307264633,0.41122078498976744,0.3944506469141939,-1.0,0.27835470033489834,0.4323374494277004,0.40868538375465213,0.5407594686825015,0.5411802260457552
large,194,287,0.43898932321742945,0.47552894525331346,0.4598276203465436,-1.0,-1.0,0.48518526620804153,0.5098406921816253,0.6234750473986954,0.6234750473986954
