name,source,ap,ap50,ap75,ap_small,ap_medium,ap_large,ar1,ar10,ar100
onecrop_loc,/private/tmp/rfdetr_small_crops_fullcoverage_384_classagnostic_nms05_loc_cocoeval.csv,0.0984354424721395,0.20019767725480642,0.08695861471790457,0.05995950289324738,0.2073339019322965,0.06928213880346794,0.03660130718954248,0.2738562091503268,0.32745098039215687
onecrop_r50_top1,/private/tmp/rfdetr_small_crops_fullcoverage_384_resnet50_imageprior_cocoeval.csv,0.08485827884768558,0.1242880115981108,0.0982870562697295,0.11186304052400123,0.12560484283353882,0.0,0.03461538461538462,0.1794434731934732,0.21266389860139862
onecrop_r50_top5x,/private/tmp/rfdetr_small_crops_fullcoverage_384_resnet50_imageprior_top5x_cocoeval.csv,0.11157098392177449,0.16071953308270046,0.13875784524013057,0.13816025682124178,0.15589717391827865,0.0,0.04807692307692308,0.20444347319347317,0.2376638986013986
onecrop_largest_gt,/private/tmp/rfdetr_small_crops_fullcoverage_384_largestgt_imageprior_cocoeval.csv,0.14320482359790523,0.2185312892403113,0.1618053472391101,0.0872795140014253,0.22094885983793355,0.23914097123998118,0.05592587755575871,0.26203735968803876,0.316012677133751
max2_loc,/private/tmp/rfdetr_small_crops_fullcoverage_max2_384_classagnostic_nms05_loc_cocoeval.csv,0.11118688190741215,0.2255290971106253,0.09858257940187846,0.06963134836113663,0.24515420221952008,0.06003098687360394,0.042483660130718956,0.30915032679738563,0.3921568627450981
max2_r50_top5x,/private/tmp/rfdetr_small_crops_fullcoverage_max2_384_resnet50_imageprior_top5x_cocoeval.csv,0.11648460173754815,0.16875832561560095,0.14284391738324076,0.14399343053397964,0.15542341464049117,0.0,0.049650349650349646,0.2115530303030303,0.2505499708624708
max2_largest_gt,/private/tmp/rfdetr_small_crops_fullcoverage_max2_384_largestgt_imageprior_cocoeval.csv,0.1522666754487484,0.2324889282374557,0.17406610787322743,0.09413592158317655,0.22836674189665782,0.23802451673738806,0.06134547611415184,0.27392003652827085,0.353911872825816
max3_loc,/private/tmp/rfdetr_small_crops_fullcoverage_max3_384_classagnostic_nms05_loc_cocoeval.csv,0.11461780550149635,0.23586458073095543,0.10012887654426682,0.0825749334748353,0.2417433473049442,0.05687635318512326,0.04379084967320261,0.3169934640522876,0.4179738562091503
max3_r50_top5x,/private/tmp/rfdetr_small_crops_fullcoverage_max3_384_resnet50_imageprior_top5x_cocoeval.csv,0.11721854024108137,0.16965881583400358,0.14375545890387853,0.14640391088142124,0.15429063919100638,0.0,0.049650349650349646,0.219245337995338,0.27234484265734266
max3_classoracle_originalscore,/private/tmp/rfdetr_small_crops_fullcoverage_max3_384_classoracle_originalscore_cocoeval.csv,0.21636590274546869,0.37115866367068634,0.23459571071199758,0.16734115775095942,0.31540578653227086,0.2723344421398662,0.11060342635576081,0.3804837411103328,0.44133982546174816
max3_classoracle_iouscore,/private/tmp/rfdetr_small_crops_fullcoverage_max3_384_classoracle_iouscore_cocoeval.csv,0.44139954329230735,0.7514578595074031,0.45544554455445546,0.26274299333477374,0.45816905396528834,0.7803960396039604,0.36365002133783964,0.44039948343959373,0.44133982546174816
