name,source,predictions,ap,ap50,ap75,global_topk_loc_recall50,global_topk_class_recall50,per_category_topk_class_recall50,global_category_retention50,ranking_gap50
max3_resnet50,/private/tmp/rfdetr_small_crops_fullcoverage_max3_384_resnet50_imageprior_top5x_predictions.json,22630,0.11721854024108137,0.16965881583400358,0.14375545890387853,0.7058823529411765,0.20915032679738563,0.21895424836601307,0.2962962962962963,0.009803921568627444
onecrop_resnet50,/private/tmp/rfdetr_small_crops_fullcoverage_384_resnet50_imageprior_top5x_predictions.json,15900,0.11157098392177449,0.16071953308270046,0.13875784524013057,0.5751633986928104,0.16339869281045752,0.16666666666666666,0.2840909090909091,0.0032679738562091387
onecrop_convnext,/private/tmp/rfdetr_small_crops_fullcoverage_384_convnext_tiny_imageprior_top5x_predictions.json,15900,0.08965462685044685,0.12528020548220903,0.1060799019500988,0.5784313725490197,0.16666666666666666,0.16666666666666666,0.28813559322033894,0.0
onecrop_efficientnet,/private/tmp/rfdetr_small_crops_fullcoverage_384_efficientnet_b0_imageprior_top5x_predictions.json,15900,0.08885273275113441,0.12529324576527143,0.10418605855414241,0.5751633986928104,0.14705882352941177,0.14705882352941177,0.25568181818181823,0.0
onecrop_teacher_ensemble,/private/tmp/rfdetr_small_crops_fullcoverage_384_teacher_ensemble_top5x_fused_predictions.json,6866,0.10962574781474499,0.1577045220385499,0.13497194297645665,0.565359477124183,0.16339869281045752,0.16339869281045752,0.28901734104046245,0.0
onecrop_r50_convnext_ensemble,/private/tmp/rfdetr_small_crops_fullcoverage_384_teacher_ensemble_resnet50_convnext_top5x_fused_predictions.json,6815,0.1106300401474656,0.159477142001345,0.1365366541585125,0.5718954248366013,0.16993464052287582,0.16993464052287582,0.29714285714285715,0.0
