slice,images,annotations,ap,ap50,ap75,ap_small,ap_medium,ap_large,ar1,ar10,ar100
all,100,365,0.1929748067875382,0.2676697893353599,0.20532551431627863,0.15274669066460111,0.2379843207250066,0.26188321981136997,0.2829907382762054,0.397509695332648,0.4115934841569213
offcenter,57,186,0.16602866699539487,0.22597952680220887,0.18673723192202116,0.1024067368660442,0.194740316588207,0.2541662893868036,0.23534649122807016,0.3639903356877041,0.3778847307663098
center,95,179,0.19063298077480648,0.2526530764013455,0.1935318140108544,0.17048694714888168,0.26173950576602756,0.26049820621705216,0.3065664560397803,0.4324469632814366,0.460750005428528
small,38,176,0.1728625791032502,0.2594137529414693,0.18308503858906128,0.1604591432073915,0.24059179025874844,0.32078900436627505,0.176687675070028,0.3296301247771836,0.34607302011713775
medium,61,103,0.19160151934549807,0.2491820539502681,0.22096594991882754,-1.0,0.0714285714285714,0.24814278417122523,0.306989560775168,0.4366497306902104,0.46149008828918864
large,67,86,0.31691266960384207,0.3730572678808083,0.3206601527141281,-1.0,-1.0,0.3569193640654259,0.4655833094533066,0.5982460120355335,0.6140959817874996
