image_id,file_name,gt_boxes,predictions,captured_layers,gt_attention_mass,top_pred_attention_mass,attention_entropy,attention_peak_x,attention_peak_y,query_overlay_count,query_gt_attention_mass_mean,query_gt_attention_mass_min,query_gt_attention_mass_max,query_zero_gt_attention_count
11647,ILSVRC2012_val_00037645.JPEG,10,300,3,0.8094001045851671,0.14069998859919747,0.8505174790103162,0.3046875,0.9921875,3,1.0,1.0,1.0,0
4893,ILSVRC2012_val_00015839.JPEG,6,147,3,0.7594177722835848,0.6181905309560569,0.8887740868624179,0.0078125,0.2734375,3,0.9314764159483963,0.8569292466508522,1.0,0
3114,ILSVRC2012_val_00010255.JPEG,6,79,3,0.8322951249671872,0.8610541865941221,0.9084349430091885,0.0078125,0.3984375,3,0.8992222309163398,0.8450265233994375,0.9673007116342518,0
2046,ILSVRC2012_val_00006779.JPEG,3,300,3,0.16301377785038615,0.7473531185528424,0.942054388238912,0.9921875,0.1015625,3,0.7089705375695893,0.18941161094113468,1.0,0
16015,ILSVRC2013_val_00000790.JPEG,6,300,3,0.5999181967276068,0.5956642361740588,0.9342775192757571,0.3359375,0.3515625,3,0.549890542874386,0.2943772109704641,0.9425675823237115,0
8445,ILSVRC2012_val_00027205.JPEG,20,300,3,0.9838199504031124,0.9838199504031124,0.9216190994346983,0.9921875,0.4921875,3,0.9523776403030761,0.9225655846260309,0.9953632018609897,0
7939,ILSVRC2012_val_00025625.JPEG,16,300,3,0.7387647705698884,0.1630862179074382,0.9137466608402155,0.8046875,0.4765625,3,0.8470002952163931,0.7005713610006871,0.96542952059849,0
17338,ILSVRC2013_val_00002770.JPEG,12,300,3,0.7021312607469045,0.6208607822784056,0.9275855511336986,0.4296875,0.2734375,3,0.814265120013614,0.5716260147812523,0.9460816000357347,0
