model,run_seed,step,loss,loss_semantic_hard_negative,loss_score_iou,loss_quality_cls,loss_quality_head,loss_query_center_aux,quality_head_scale,eval_iou,eval_recall50,eval_ap50,eval_ap50_class,eval_ap75,eval_ap75_q_fixed,eval_ap75_oracle_iou,eval_small_ap50,eval_medium_ap50,eval_large_ap50,eval_center_ap50,eval_offcenter_ap50,eval_small_ap50_q_fixed,eval_medium_ap50_q_fixed,eval_large_ap50_q_fixed,eval_center_ap50_q_fixed,eval_offcenter_ap50_q_fixed,eval_ap50_center_dist1,eval_ap50_q_fixed_center_dist1,eval_center_ap50_center_dist1,eval_offcenter_ap50_center_dist1,eval_center_ap50_q_fixed_center_dist1,eval_offcenter_ap50_q_fixed_center_dist1,eval_ap50_q025,eval_ap50_q05,eval_ap50_q1,eval_ap50_q2,eval_ap50_q4,eval_ap50_q_fixed,eval_ap50_q_fixed_alpha,eval_ap50_q_fixed_temperature,eval_ap50_q_best,eval_ap50_q_best_alpha,eval_ap50_class_q025,eval_ap50_class_q05,eval_ap50_class_q1,eval_ap50_class_q2,eval_ap50_class_q4,eval_ap50_class_q_fixed,eval_ap50_class_q_best,eval_ap50_class_q_best_alpha,eval_ap50_oracle_iou,eval_ap50_class_oracle_iou,eval_ap50_oracle_gap,eval_ap50_q_fixed_gap_to_oracle,eval_ap50_q_fixed_oracle_closure,eval_ap50_q_best_gap_to_oracle,eval_ap50_q_best_oracle_closure,eval_ap50_class_oracle_gap,eval_ap50_class_q_fixed_gap_to_oracle,eval_ap50_class_q_fixed_oracle_closure,eval_ap50_class_q_best_gap_to_oracle,eval_ap50_class_q_best_oracle_closure,eval_mask_iou,eval_mask_dice,eval_query_mask_center_l1,eval_query_mask_center_l2,eval_query_mask_center_pck025,eval_center_query_mask_center_l2,eval_offcenter_query_mask_center_l2,eval_center_query_mask_center_pck025,eval_offcenter_query_mask_center_pck025,eval_small_iou,eval_medium_iou,eval_large_iou,eval_center_iou,eval_offcenter_iou,matched_assignment_class_acc,tp50_class_acc,score_iou_corr,objectness_auc,objectness_ece50,objectness_ece75,quality_iou_corr,quality_auc,combined_iou_corr,combined_auc,combined_ece50,combined_ece75,topk_fp_rate,combined_topk_fp_rate,topk_center_distance,combined_topk_center_distance,duplicate_per_gt,center_matched_assignment_class_acc,offcenter_matched_assignment_class_acc,center_tp50_class_acc,offcenter_tp50_class_acc,center_score_iou_corr,offcenter_score_iou_corr,center_objectness_auc,offcenter_objectness_auc,center_topk_fp_rate,offcenter_topk_fp_rate,center_combined_topk_fp_rate,offcenter_combined_topk_fp_rate,center_topk_slice_match_rate,offcenter_topk_slice_match_rate,center_topk_non_slice_match_rate,offcenter_topk_non_slice_match_rate,center_topk_no_gt_match_rate,offcenter_topk_no_gt_match_rate,center_combined_topk_slice_match_rate,offcenter_combined_topk_slice_match_rate,center_combined_topk_non_slice_match_rate,offcenter_combined_topk_non_slice_match_rate,center_combined_topk_no_gt_match_rate,offcenter_combined_topk_no_gt_match_rate,center_topk_center_distance,offcenter_topk_center_distance,center_combined_topk_center_distance,offcenter_combined_topk_center_distance,center_duplicate_per_gt,offcenter_duplicate_per_gt,query_assignment_entropy,center_query_assignment_entropy,offcenter_query_assignment_entropy,best_iou,best_step,images_per_sec
local_learned,41,25,6.737154960632324,0.014332294464111328,0.0,0.0,0.0,0.0,1.0,0.38647395372390747,0.13333334028720856,0.0833333358168602,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333358168602,0.0833333358168602,0.0,0.0,0.0,0.0833333358168602,0.0833333358168602,0.0,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0,0.0833333358168602,0.0,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0,0.0,0.0833333358168602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0416666641831398,0.0416666641831398,0.0,0.0416666641831398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4140792191028595,0.4335935711860657,0.0801963210105896,0.06666667014360428,0.0,-0.3818158805370331,0.4375,0.27881836891174316,0.187735453248024,0.0,0.5,-0.3818158805370331,0.4375,0.27881836891174316,0.187735453248024,0.875,0.875,0.07669190317392349,0.07669190317392349,0.25,0.07692307978868484,0.0,0.0,0.0,-0.3818158805370331,-0.4932158589363098,0.4375,0.5,0.875,1.0,0.875,1.0,0.125,0.0,0.0,0.0,0.875,1.0,0.125,0.0,0.0,0.0,0.875,1.0,0.0775364488363266,0.0774933472275734,0.0775364488363266,0.0774933472275734,0.25,0.0,0.9147366881370544,0.8345901966094971,-0.0,0.38647395372390747,25,26.116483474905106
local_learned,41,50,6.520492076873779,0.0,0.0,0.0,0.0,0.0,1.0,0.4013921022415161,0.20000000298023224,0.1875,0.0625,0.0,0.0,0.0,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0,0.1875,0.1875,0.0,0.09375,0.09375,0.09375,0.0,0.09375,0.0,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.0,0.0,0.1875,0.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0,0.1875,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4300629794597626,0.4463264048099518,0.1093192920088768,0.20000000298023224,0.25,0.7969908118247986,0.65625,0.28099751472473145,0.23597301542758942,0.0,0.5,0.7969908118247986,0.65625,0.28099751472473145,0.23597301542758942,0.75,0.75,0.05413321778178215,0.05413321778178215,0.1875,0.23076923191547394,0.0,0.25,0.0,0.7969908118247986,0.47828492522239685,0.65625,0.5,0.75,1.0,0.75,1.0,0.25,0.0,0.0,0.0,0.75,1.0,0.25,0.0,0.0,0.0,0.75,1.0,0.060554325580596924,0.07017627358436584,0.060554325580596924,0.07017627358436584,0.1875,0.0,0.7827981114387512,0.7742903232574463,-0.0,0.4013921022415161,50,30.128196415942753
local_learned,42,25,8.320868492126465,1.4466384649276733,0.0,0.0,0.0,0.0,1.0,0.25988414883613586,0.13333334028720856,0.1875,0.1875,0.0,0.0,0.0,0.0,0.0,0.25,0.1875,0.0,0.0,0.0,0.25,0.1875,0.0,0.1875,0.1875,0.1875,0.0,0.1875,0.0,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.0,0.0,0.1875,0.0,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875,0.0,0.1875,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054356176406145096,0.0,0.311266154050827,0.30784615874290466,0.12798866629600525,0.20000000298023224,0.6666666865348816,-0.2703021764755249,0.5,0.36440128087997437,0.23331739008426666,0.0,0.5,-0.2703021764755249,0.5,0.36440128087997437,0.23331739008426666,0.75,0.75,0.04322101175785065,0.04322101175785065,0.5625,0.27272728085517883,0.0,0.6666666865348816,0.0,-0.17617394030094147,0.023336593061685562,0.5,0.5,0.75,1.0,0.75,1.0,0.25,0.0,0.0,0.0,0.75,1.0,0.25,0.0,0.0,0.0,0.75,1.0,0.04323950409889221,0.04322536662220955,0.04323950409889221,0.04322536662220955,0.5625,0.0,0.9128025770187378,0.7474594116210938,0.40563905239105225,0.25988414883613586,25,33.23984811035973
local_learned,42,50,6.534639835357666,0.5085927248001099,0.0,0.0,0.0,0.0,1.0,0.22664327919483185,0.13333334028720856,0.15625,0.15625,0.0,0.0,0.0,0.0,0.0,0.1875,0.15625,0.0,0.0,0.0,0.1875,0.15625,0.0,0.1875,0.1875,0.1875,0.0,0.1875,0.0,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.0,0.0,0.15625,0.0,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.15625,0.0,0.15625,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07735222578048706,0.0,0.26396602392196655,0.2724215090274811,0.1007530689239502,0.20000000298023224,0.6666666865348816,-0.48026180267333984,0.4375,0.4102407693862915,0.3328268826007843,0.0,0.5,-0.48026180267333984,0.4375,0.4102407693862915,0.3328268826007843,0.8125,0.8125,0.03922627121210098,0.03922627121210098,0.5,0.27272728085517883,0.0,0.6666666865348816,0.0,-0.48026180267333984,-0.6746453642845154,0.4375,0.5,0.8125,1.0,0.8125,1.0,0.1875,0.0,0.0,0.0,0.8125,1.0,0.1875,0.0,0.0,0.0,0.8125,1.0,0.03787542134523392,0.03745974972844124,0.03787542134523392,0.03745974972844124,0.5,0.0,0.9609640836715698,0.8949645161628723,0.75,0.25988414883613586,25,33.35356157340742
