slice,images,annotations,ap,ap50,ap75,ap_small,ap_medium,ap_large,ar1,ar10,ar100
all,35,158,0.054295143800094293,0.10485619990570484,0.05714285714285713,0.03186318631863185,0.054999999999999986,0.0,0.04952380952380952,0.0638095238095238,0.0638095238095238
offcenter,28,110,0.03056930693069306,0.055693069306930666,0.04166666666666666,0.005610561056105609,0.033333333333333326,0.0,0.030555555555555555,0.030555555555555555,0.030555555555555555
small,35,158,0.054295143800094293,0.10485619990570484,0.05714285714285713,0.03186318631863185,0.054999999999999986,0.0,0.04952380952380952,0.0638095238095238,0.0638095238095238
