label,gt_category_id,gt_category_name,samples,gt_candidate_present,gt_candidate_present_rate,mean_nearest_iou,iou_ge_min,dominant_top_candidate,dominant_top_candidate_count
base,126,n03908618,1,0,0,0.984309780946,1,n04379243,1
base,183,n07695742,9,0,0,0.91306829237,8,n00007846,6
base,113,n03676483,11,0,0,0.890101501821,11,n00007846,10
base,180,n07583066,2,0,0,0.844459101353,2,n00007846,2
base,66,n02879718,1,0,0,0.843691823226,1,n00007846,1
base,92,n03255030,14,0,0,0.764857223598,11,n01726692,5
base,98,n03400231,3,0,0,0.546842461166,2,n00007846,1
base,75,n03000684,4,0,0,0.488535167416,2,n03991062,3
base,18,n02076196,2,1,0.5,0.953515680319,2,n00007846,2
base,144,n04118538,2,1,0.5,0.850333675966,2,n02419796,1
base,167,n04468005,3,2,0.666666666667,0.918264106088,3,n04530566,2
extra_low_lr,126,n03908618,1,0,0,0.981857164391,1,n02870880,1
extra_low_lr,167,n04468005,3,0,0,0.943133456,3,n04530566,2
extra_low_lr,183,n07695742,9,0,0,0.938325187487,9,n01726692,5
extra_low_lr,113,n03676483,11,0,0,0.908022793606,11,n03916031,3
extra_low_lr,18,n02076196,2,0,0,0.87569074228,2,n00007846,1
extra_low_lr,66,n02879718,1,0,0,0.865933091187,1,n03467517,1
extra_low_lr,180,n07583066,2,0,0,0.862013307552,2,n02880940,1
extra_low_lr,144,n04118538,2,0,0,0.845556590508,2,n02802426,1
extra_low_lr,92,n03255030,14,0,0,0.738190870658,11,n01495701,8
extra_low_lr,75,n03000684,4,0,0,0.620363858696,3,n04336792,2
extra_low_lr,98,n03400231,3,0,0,0.543527076686,2,n04330267,2
full_lr_2ep,126,n03908618,1,0,0,0.989935853647,1,n02870880,1
full_lr_2ep,167,n04468005,3,0,0,0.95187842426,3,n04530566,2
full_lr_2ep,183,n07695742,9,0,0,0.937163714056,9,n01726692,5
full_lr_2ep,113,n03676483,11,0,0,0.89911980609,11,n02880940,8
full_lr_2ep,180,n07583066,2,0,0,0.864222927916,2,n02870880,1
full_lr_2ep,66,n02879718,1,0,0,0.768453092993,1,n02766320,1
full_lr_2ep,92,n03255030,14,0,0,0.69030267177,11,n02206856,6
full_lr_2ep,75,n03000684,4,0,0,0.596161939835,3,n00007846,1
full_lr_2ep,98,n03400231,3,0,0,0.574580494415,2,n03207941,1
full_lr_2ep,18,n02076196,2,1,0.5,0.937502121028,2,n00007846,2
full_lr_2ep,144,n04118538,2,2,1,0.893662913222,2,n02802426,1
