slice,images,annotations,ap,ap50,ap75,ap_small,ap_medium,ap_large,ar1,ar10,ar100
all,100,365,0.24940562129197807,0.35461865513813345,0.2396030302527403,0.16512269696228307,0.23449409202584612,0.3220529980611732,0.23431672400818884,0.3705897677869996,0.3822964913680023
offcenter,57,186,0.20742892868831783,0.3083678392791283,0.19729916340589906,0.11269652593735945,0.1839840291345183,0.28614955618946014,0.20040251196172248,0.3700344801397433,0.3850783397888661
center,95,179,0.23533530101535666,0.3186478209072454,0.23168517611183953,0.1611775041883273,0.26459929107876207,0.3260214941019357,0.2543299567889171,0.3794813041495667,0.4014306885544916
small,38,176,0.19723591042759261,0.3111048914336173,0.174976050395895,0.16532925518907876,0.237250964150298,0.19229522212089628,0.1740721288515406,0.2971606824548001,0.3115514387573211
medium,61,103,0.27180934093409137,0.3750588690008162,0.2863644405948335,-1.0,0.018749999999999996,0.3297466048768783,0.22326059192625913,0.4548073185629407,0.4762951857404631
large,67,86,0.3308397905860503,0.38884215895329033,0.3430350486080707,-1.0,-1.0,0.3670321920887148,0.36803021619384213,0.552810281147515,0.5724094150985449
