slice,images,annotations,ap,ap50,ap75,ap_small,ap_medium,ap_large,ar1,ar10,ar100
all,330,1610,0.28147546825128705,0.35070945713454826,0.3102210408491437,0.1495385720786158,0.33150664443478517,0.41760891428652525,0.30039991240206176,0.3877265887329925,0.38806438258261206
offcenter,330,1012,0.2195973056619382,0.2727720509937497,0.24477657740238476,0.1300478495337598,0.3430477213208511,0.32105834785056336,0.26617800482561077,0.3742722927111696,0.37471146732215377
center,282,598,0.2648980890001201,0.32203240013135737,0.2849876875158574,0.14893190118450833,0.20145185349664438,0.41753824804598894,0.34750476738791314,0.4437519435757348,0.4440681799299195
small,207,754,0.1849279548597841,0.25796991409201286,0.20450353076319822,0.14957395223457756,0.32560894355167913,0.1922190833153841,0.22747935718487033,0.3179430877768359,0.318795687115037
medium,266,569,0.33514814448097296,0.38704326623253293,0.37629831962148236,-1.0,0.27839260918845504,0.39920584511912116,0.371583465918162,0.523883534064594,0.5240863315324686
large,194,287,0.35491818600596436,0.3896929573596668,0.37015091175532466,-1.0,-1.0,0.3953949916277379,0.5064048759064665,0.5955394882012061,0.5955394882012061
