image_id,file_name,gt_boxes,predictions,captured_layers,gt_attention_mass,top_pred_attention_mass,attention_entropy,attention_peak_x,attention_peak_y,query_overlay_count,query_gt_attention_mass_mean,query_gt_attention_mass_min,query_gt_attention_mass_max,query_zero_gt_attention_count
492,000000000492_ILSVRC2012_val_00001641.JPEG,6,5,3,0.745611343086214,0.7055328703564326,0.8976471568424678,0.0390625,0.9921875,1,0.8124999969715248,0.8124999969715248,0.8124999969715248,0
1527,000000001527_ILSVRC2012_val_00005152.JPEG,4,28,3,0.09338037707435604,0.24479970593969597,0.7707999296012877,0.9921875,0.9921875,1,0.0,0.0,0.0,1
1151,000000001151_ILSVRC2012_val_00003867.JPEG,10,1,3,0.14619060702583578,0.84896315233904,0.9343196527951207,0.0078125,0.4609375,1,0.25694424953638323,0.25694424953638323,0.25694424953638323,0
945,000000000945_ILSVRC2012_val_00003195.JPEG,7,1,3,0.583726051390197,0.5053003799882096,0.927492505648499,0.0078125,0.9453125,1,0.9262047431264337,0.9262047431264337,0.9262047431264337,0
999,000000000999_ILSVRC2012_val_00003377.JPEG,4,10,3,0.4428424116136381,0.7381405359729425,0.9361320737986193,0.9921875,0.9921875,1,0.8309777012059127,0.8309777012059127,0.8309777012059127,0
487,000000000487_ILSVRC2012_val_00001624.JPEG,3,4,3,0.44704822066220323,0.8772870550401017,0.9298648164111265,0.0078125,0.5703125,1,0.8237640216017408,0.8237640216017408,0.8237640216017408,0
200,000000000200_ILSVRC2012_val_00000698.JPEG,5,2,3,0.9400628021643231,0.9013383267157921,0.9054178936899492,0.0078125,0.2265625,1,0.9232799125992408,0.9232799125992408,0.9232799125992408,0
1793,000000001793_ILSVRC2012_val_00005962.JPEG,13,19,3,0.773366847001629,0.5583498311631879,0.8915173714465274,0.6484375,0.4765625,1,0.8558319812314299,0.8558319812314299,0.8558319812314299,0
608,000000000608_ILSVRC2012_val_00002012.JPEG,8,14,3,0.73678348852202,0.48850901089266996,0.8680055914545188,0.9921875,0.2890625,1,0.7458637418163948,0.7458637418163948,0.7458637418163948,0
1386,000000001386_ILSVRC2012_val_00004657.JPEG,5,7,3,0.9610802086113062,0.947794818640879,0.9196624979818043,0.9921875,0.7734375,1,0.8839873575884428,0.8839873575884428,0.8839873575884428,0
659,000000000659_ILSVRC2012_val_00002194.JPEG,5,5,3,0.5447838858167612,0.5451832292217669,0.8484045302409696,0.7265625,0.2109375,1,0.859567363214786,0.859567363214786,0.859567363214786,0
1719,000000001719_ILSVRC2012_val_00005749.JPEG,17,11,3,0.8006514593402965,0.2939063934618232,0.9451263191248372,0.0078125,0.8671875,1,1.0,1.0,1.0,0
761,000000000761_ILSVRC2012_val_00002504.JPEG,10,7,3,0.5399606861029103,0.7533069369603046,0.9372029117743562,0.0078125,0.4765625,1,0.8594722643037114,0.8594722643037114,0.8594722643037114,0
1373,000000001373_ILSVRC2012_val_00004619.JPEG,6,7,3,0.9446010313168178,0.9569914390830226,0.9031774397990227,0.4765625,0.4140625,1,1.0,1.0,1.0,0
379,000000000379_ILSVRC2012_val_00001286.JPEG,4,3,3,0.7478051589341761,0.7483988566822074,0.8765687295710797,0.5390625,0.5859375,1,0.7756086721701425,0.7756086721701425,0.7756086721701425,0
